WP/TRK,TRK ID,Long,Lat,Alt (m),UTC,CEST
WP,,-6.15362347,36.66589298,57,2023-04-20T16:52:11Z,18:52:11
WP,,-6.15264563,36.66509683,62,2023-04-20T16:53:48Z,18:53:48
WP,,-6.15312575,36.66418962,59,2023-04-20T16:56:02Z,18:56:02
WP,,-6.15219603,36.66337910,59,2023-04-20T16:57:38Z,18:57:38
WP,,-6.15127754,36.66259350,60,2023-04-20T17:00:14Z,19:00:14
WP,,-6.14989294,36.66237166,56,2023-04-20T17:04:23Z,19:04:23
WP,,-6.14733027,36.66317612,65,2023-04-20T17:08:29Z,19:08:29
WP,,-6.14557656,36.66368286,57,2023-04-20T17:11:04Z,19:11:04
WP,,-6.14393126,36.66391735,58,2023-04-20T17:13:09Z,19:13:09
WP,,-6.14281592,36.66233155,60,2023-04-20T17:15:48Z,19:15:48
WP,,-6.14015644,36.66069273,62,2023-04-20T17:19:39Z,19:19:39
WP,,-6.13956475,36.66365187,55,2023-04-20T17:22:55Z,19:22:55
WP,,-6.14128285,36.66592880,55,2023-04-20T17:25:27.000148Z,19:25:27
WP,,-6.14438343,36.66466486,53,2023-04-20T17:29:28Z,19:29:28
WP,,-6.14669521,36.66406871,63,2023-04-20T17:31:35Z,19:31:35
WP,,-6.14827667,36.66405427,55,2023-04-20T17:34:26.000927Z,19:34:26
WP,,-6.14966265,36.66503596,55,2023-04-20T17:36:56.000753Z,19:36:56
WP,,-6.15115308,36.66586173,56,2023-04-20T17:39:45Z,19:39:45
WP,,-6.15313867,36.66732294,55,2023-04-20T17:43:27Z,19:43:27
WP,,-6.15456904,36.66762745,60,2023-04-20T17:46:28Z,19:46:28
TRK,1,-6.15264914,36.66508769,59,2023-04-20T16:54:06Z,18:54:06
TRK,1,-6.15264912,36.66508770,59,2023-04-20T16:54:07Z,18:54:07
TRK,1,-6.15264916,36.66508765,59,2023-04-20T16:54:09Z,18:54:09
TRK,1,-6.15265009,36.66508764,59,2023-04-20T16:54:10Z,18:54:10
TRK,1,-6.15265059,36.66508791,59,2023-04-20T16:54:11Z,18:54:11
TRK,1,-6.15265165,36.66508883,59,2023-04-20T16:54:13Z,18:54:13
TRK,1,-6.15265235,36.66508852,58,2023-04-20T16:54:14Z,18:54:14
TRK,1,-6.15265247,36.66508832,58,2023-04-20T16:54:15Z,18:54:15
TRK,1,-6.15265256,36.66508827,58,2023-04-20T16:54:16Z,18:54:16
TRK,1,-6.15312466,36.66419113,59,2023-04-20T16:56:01Z,18:56:01
TRK,1,-6.15312575,36.66418962,59,2023-04-20T16:56:02Z,18:56:02
TRK,1,-6.15312667,36.66418900,59,2023-04-20T16:56:03Z,18:56:03
TRK,1,-6.15312714,36.66418419,59,2023-04-20T16:56:04Z,18:56:04
TRK,1,-6.15312766,36.66418218,59,2023-04-20T16:56:05Z,18:56:05
TRK,1,-6.15312469,36.66418159,59,2023-04-20T16:56:06Z,18:56:06
TRK,1,-6.15312180,36.66418196,58,2023-04-20T16:56:07Z,18:56:07
TRK,1,-6.15312013,36.66418243,58,2023-04-20T16:56:08Z,18:56:08
TRK,1,-6.15311884,36.66418174,58,2023-04-20T16:56:09Z,18:56:09
TRK,1,-6.15311591,36.66418249,58,2023-04-20T16:56:10Z,18:56:10
TRK,1,-6.15219781,36.66338164,59,2023-04-20T16:57:36Z,18:57:36
TRK,1,-6.15219719,36.66338188,59,2023-04-20T16:57:37Z,18:57:37
TRK,1,-6.15219603,36.66337910,59,2023-04-20T16:57:38Z,18:57:38
TRK,1,-6.15219519,36.66337581,59,2023-04-20T16:57:39Z,18:57:39
TRK,1,-6.15219541,36.66337297,60,2023-04-20T16:57:40Z,18:57:40
TRK,1,-6.15219789,36.66336885,60,2023-04-20T16:57:41Z,18:57:41
TRK,1,-6.15219956,36.66336532,60,2023-04-20T16:57:42Z,18:57:42
TRK,1,-6.15219986,36.66336448,60,2023-04-20T16:57:43Z,18:57:43
TRK,1,-6.15219977,36.66336277,60,2023-04-20T16:57:44Z,18:57:44
TRK,1,-6.15219809,36.66336148,60,2023-04-20T16:57:45Z,18:57:45
TRK,1,-6.15219717,36.66335986,60,2023-04-20T16:57:46Z,18:57:46
TRK,1,-6.15127232,36.66259767,61,2023-04-20T17:00:11Z,19:00:11
TRK,1,-6.15127255,36.66259686,61,2023-04-20T17:00:12Z,19:00:12
TRK,1,-6.15127237,36.66259495,61,2023-04-20T17:00:13Z,19:00:13
TRK,1,-6.15127754,36.66259350,60,2023-04-20T17:00:14Z,19:00:14
TRK,1,-6.15127688,36.66259283,60,2023-04-20T17:00:15Z,19:00:15
TRK,1,-6.15127818,36.66259263,60,2023-04-20T17:00:16Z,19:00:16
TRK,1,-6.15127703,36.66259279,59,2023-04-20T17:00:17Z,19:00:17
TRK,1,-6.15127660,36.66259281,59,2023-04-20T17:00:18Z,19:00:18
TRK,1,-6.15127694,36.66259373,59,2023-04-20T17:00:19Z,19:00:19
TRK,1,-6.15128015,36.66259330,59,2023-04-20T17:00:20Z,19:00:20
TRK,1,-6.15128025,36.66259260,58,2023-04-20T17:00:21Z,19:00:21
TRK,1,-6.14988103,36.66237562,57,2023-04-20T17:04:22Z,19:04:22
TRK,1,-6.14989294,36.66237166,56,2023-04-20T17:04:23Z,19:04:23
TRK,1,-6.14989951,36.66237269,55,2023-04-20T17:04:24Z,19:04:24
TRK,1,-6.14990113,36.66237176,55,2023-04-20T17:04:25Z,19:04:25
TRK,1,-6.14990232,36.66237225,55,2023-04-20T17:04:26Z,19:04:26
TRK,1,-6.14990589,36.66237285,54,2023-04-20T17:04:27Z,19:04:27
TRK,1,-6.14990583,36.66237451,53,2023-04-20T17:04:28Z,19:04:28
TRK,1,-6.14990268,36.66237659,53,2023-04-20T17:04:29Z,19:04:29
TRK,1,-6.14990042,36.66237705,52,2023-04-20T17:04:30Z,19:04:30
TRK,1,-6.14989857,36.66237813,52,2023-04-20T17:04:31Z,19:04:31
TRK,1,-6.14733075,36.66317403,65,2023-04-20T17:08:27Z,19:08:27
TRK,1,-6.14733182,36.66317463,65,2023-04-20T17:08:28Z,19:08:28
TRK,1,-6.14733027,36.66317612,65,2023-04-20T17:08:29Z,19:08:29
TRK,1,-6.14733044,36.66318187,66,2023-04-20T17:08:31Z,19:08:31
TRK,1,-6.14733222,36.66318402,66,2023-04-20T17:08:32Z,19:08:32
TRK,1,-6.14733286,36.66318597,66,2023-04-20T17:08:33Z,19:08:33
TRK,1,-6.14733301,36.66318653,66,2023-04-20T17:08:34Z,19:08:34
TRK,1,-6.14733528,36.66318914,66,2023-04-20T17:08:35Z,19:08:35
TRK,1,-6.14733592,36.66319118,66,2023-04-20T17:08:36Z,19:08:36
