Cadena nº,Ángulo en x,Ángulo en y,Aceleración,Temperatura,Presion,Altura,RSSI,Latitud,Longitud
unnumerocomotextoxdxd,0,0,0,0,0,0,0,0,0
unnumerocomotextoxdxd,0,0,0,0,0,0,0,0,0
0.00,75.58,-3.86,10.53,24.90,101037.00,-0.58,54,0.0000,0.0000
1.00,63.69,4.05,10.52,25.00,100991.00,3.59,43,0.0000,0.0000
3.00,17.08,70.99,9.61,25.30,101047.00,-1.25,60,0.0000,0.0000
4.00,15.44,73.46,9.52,25.50,101067.00,-1.42,53,0.0000,0.0000
5.00,19.25,68.57,11.72,25.70,101049.00,-2.34,61,0.0000,0.0000
6.00,11.57,73.61,9.50,25.90,101050.00,-1.59,53,0.0000,0.0000
7.00,11.34,73.16,9.51,26.20,101064.00,-2.00,52,0.0000,0.0000
8.00,11.30,73.80,9.51,26.50,101045.00,-1.25,49,0.0000,0.0000
9.00,11.34,73.61,9.57,26.70,101051.00,-0.67,54,0.0000,0.0000
10.00,12.25,72.99,9.46,27.00,101060.00,-1.92,63,0.0000,0.0000
11.00,11.26,73.80,9.64,27.00,101059.00,-1.34,53,0.0000,0.0000
13.00,11.59,73.84,9.52,27.50,101057.00,-1.00,50,0.0000,0.0000
14.00,11.32,73.90,9.55,27.60,101060.00,-2.17,51,0.0000,0.0000
15.00,11.38,74.00,9.51,27.60,101044.00,-0.83,53,0.0000,0.0000
16.00,11.35,73.52,9.53,27.60,101056.00,-1.25,56,0.0000,0.0000
18.00,11.46,73.68,9.51,27.70,101050.00,-0.67,51,0.0000,0.0000
19.00,11.38,73.55,9.49,27.90,101050.00,-1.50,53,0.0000,0.0000
20.00,11.59,73.70,9.48,28.10,101054.00,-1.75,53,0.0000,0.0000
21.00,11.42,73.84,9.49,28.40,101045.00,-1.75,53,0.0000,0.0000
22.00,11.33,73.98,9.55,28.60,101037.00,-0.75,53,0.0000,0.0000
23.00,11.21,73.88,9.56,28.80,101041.00,-0.67,48,0.0000,0.0000
24.00,11.81,73.28,9.48,28.90,101050.00,-0.50,48,0.0000,0.0000
25.00,11.84,72.89,9.54,29.00,101045.00,-0.25,49,0.0000,0.0000
27.00,11.97,73.13,9.57,29.10,101034.00,0.58,51,0.0000,0.0000
28.00,11.40,73.46,9.42,29.00,101035.00,-0.67,52,0.0000,0.0000
29.00,-7.21,72.50,11.51,28.90,101046.00,-0.42,62,0.0000,0.0000
30.00,-7.19,73.51,9.17,29.10,101032.00,0.08,72,0.0000,0.0000
31.00,0.67,55.06,10.65,29.20,101038.00,0.25,75,0.0000,0.0000
32.00,10.93,66.75,9.69,29.00,101030.00,1.34,71,0.0000,0.0000
33.00,0.66,58.39,9.00,0.00,101030.00,1.34,94,0.0000,0.0000
34.00,1.52,52.87,12.27,28.90,101041.00,-0.33,79,0.0000,0.0000
35.00,3.47,60.96,11.51,28.70,101079.00,-4.01,98,0.0000,0.0000
36.00,2.22,51.85,8.67,28.60,-6.00,-4.01,98,0.0000,0.0000
38.00,0.42,57.35,11.47,28.20,101141.00,-8.60,103,0.0000,0.0000
unnumerocomotextoxdxd,0,0,0,0,0,0,0,0,0
39.00,-0.98,60.83,10.84,28.20,101136.00,-8.93,102,0.0000,0.0000
40.00,1.17,60.94,10.80,28.30,101144.00,-9.51,104,0.0000,0.0000
41.00,0.91,52.43,10.27,28.50,101146.00,-9.43,93,0.0000,0.0000
42.00,-38.01,46.60,9.38,28.70,101165.00,-10.26,97,0.0000,0.0000
43.00,6.27,76.97,9.76,28.90,101149.00,-9.68,87,0.0000,0.0000
44.00,6.18,79.20,9.70,29.10,101153.00,-9.51,87,0.0000,0.0000
45.00,7.69,81.01,9.78,29.30,101154.00,-9.10,91,0.0000,0.0000
46.00,8.93,80.95,9.64,29.60,101144.00,-10.18,91,0.0000,0.0000
47.00,-1.77,80.43,9.93,29.80,101152.00,-8.51,90,0.0000,0.0000
48.00,-4.59,63.93,10.51,29.90,101140.00,-8.68,89,0.0000,0.0000
50.00,1.26,57.29,10.34,29.30,101138.00,-8.60,94,0.0000,0.0000
63.00,-5.80,54.77,10.91,30.40,101143.00,-9.35,95,0.0000,0.0000
65.00,0.80,55.34,10.58,29.50,101148.00,-9.51,101,0.0000,0.0000
73.00,-1.95,60.85,9.00,29.50,101148.00,-9.51,99,0.0000,0.0000
74.00,-0.26,58.97,10.42,29.10,101148.00,-9.26,98,0.0000,0.0000
75.00,1.41,55.78,10.94,8.00,1.00,0.00,97,0.0000,0.0000
77.00,0.04,89.00,9.00,8.00,1.00,0.00,97,0.0000,0.0000
78.00,0.14,89.64,-9.43,8.00,1.00,0.00,102,0.0000,0.0000
79.00,0.99,88.81,9.61,30.00,101139.00,-8.76,103,0.0000,0.0000
80.00,87.67,9.62,30.30,101149.00,-8.60,-8.76,101,0.0000,0.0000
81.00,1.11,86.58,9.63,30.50,101130.00,-8.10,100,0.0000,0.0000
83.00,1.50,85.15,9.73,31.00,101141.00,-8.60,101,0.0000,0.0000
85.00,0.47,87.65,9.63,31.40,101140.00,-9.35,102,0.0000,0.0000
86.00,-1.07,88.84,9.52,31.60,101136.00,-9.26,99,0.0000,0.0000
115.00,2.47,61.52,9.94,31.70,101142.00,-8.10,99,0.0000,0.0000
119.00,-1.20,85.00,9.58,32.00,0.00,-9.00,107,0.0000,0.0000
120.00,0.06,86.47,9.68,32.10,101145.00,0.00,108,0.0000,0.0000
134.00,0.81,64.26,10.32,32.80,101130.00,-7.68,109,0.0000,0.0000
135.00,6.04,58.26,9.82,32.80,101135.00,-8.18,104,0.0000,0.0000
136.00,1.31,67.24,11.02,32.50,101126.00,-8.18,101,0.0000,0.0000
138.00,3.81,64.06,10.61,31.90,101075.00,-1.92,104,0.0000,0.0000
14.00,0.00,0.00,6.00,-2.00,101075.00,-1.92,105,0.0000,0.0000
145.00,4.90,83.79,9.69,29.50,101066.00,-3.09,106,0.0000,0.0000
153.00,1.45,56.96,8.23,30.00,101089.00,-6.00,102,0.0000,0.0000
unnumerocomotextoxdxd,0,0,0,0,0,0,0,0,0
unnumerocomotextoxdxd,0,0,0,0,0,0,0,0,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,36.6651,-6.1544
282.00,-0.46,84.89,9.53,28.70,101125.00,-7.18,107,36.6651,-6.1544
283.00,-3.24,82.77,9.71,28.60,101114.00,-5.76,104,36.6651,-6.1544
285.00,-4.77,81.90,9.60,28.70,101120.00,-6.51,100,36.6651,-6.1544
286.00,-5.42,80.41,9.71,28.80,101108.00,-6.43,100,36.6651,-6.1544
287.00,-5.96,82.77,9.60,28.80,101113.00,-7.26,97,36.6651,-6.1544
288.00,-4.94,81.87,9.59,28.80,101127.00,-6.84,97,36.6651,-6.1544
291.00,-0.97,86.60,9.77,28.60,101123.00,0.00,96,36.6651,-6.1544
292.00,-19.54,70.01,7.06,28.50,101106.00,0.00,97,36.6651,-6.1544
297.00,-0.45,88.04,9.55,28.30,101153.00,-9.76,100,36.6651,-6.1544
297.00,-0.45,88.04,9.55,28.30,101153.00,-9.76,100,36.6651,-6.1544
299.00,-2.49,86.75,9.58,28.90,101144.00,-8.76,104,36.6651,-6.1544
300.00,-0.95,87.11,9.65,29.30,101150.00,-9.51,105,36.6651,-6.1544
301.00,-1.82,86.21,9.68,29.50,101161.00,-10.10,104,36.6651,-6.1544
