Cadena nº,Ángulo en x,Ángulo en y,Aceleración,Temperatura,Presion,Altura,RSSI,Latitud,Longitud
0.00,87.56,-2.29,10.20,29.30,100592.00,-0.34,38,36.6777,-6.1076
1.00,87.42,-2.49,10.16,29.00,100611.00,-0.67,34,0,0
 -=- Nuevos datos -=-,0,0,0,0,0,0,0,0,0
2.00,87.26,-2.70,10.19,29.10,100610.00,-0.84,51,36.6776,-6.1077
3.00,87.59,-2.31,10.16,29.20,100610.00,-1.17,44,0,0
4.00,87.47,-2.25,10.21,29.40,100610.00,-0.25,41,0,0
 -=- Nuevos datos -=-,0,0,0,0,0,0,0,0,0
5.00,87.29,-2.59,10.19,29.50,100607.00,-0.17,58,36.6776,-6.1078
6.00,87.40,-2.38,10.20,29.70,100612.00,-0.67,46,0,0
7.00,87.55,-2.41,10.19,29.80,100611.00,-0.84,48,0,0
8.00,87.46,-2.37,10.18,30.10,100617.00,-1.68,47,0,0
9.00,87.59,-2.32,10.17,30.20,100600.00,-0.34,46,0,0
10.00,88.17,-1.78,10.13,30.30,100611.00,-0.25,43,0,0
11.00,87.42,-2.51,10.20,30.30,100608.00,0.08,42,0,0
 -=- Nuevos datos -=-,0,0,0,0,0,0.00,0,0,0
12.00,86.59,-2.64,10.13,30.20,100615.00,-1.17,45,36.6776,-6.1078
13.00,87.39,-2.43,10.17,30.30,100607.00,-1.76,44,0,0
14.00,87.11,-2.59,10.17,30.30,100595.00,-0.67,47,0,0
15.00,87.43,-2.44,10.20,30.40,100614.00,-1.26,49,0,0
16.00,86.89,-2.67,10.27,30.40,100612.00,-1.93,47,0,0
17.00,87.24,-2.65,10.25,30.50,100603.00,-0.17,50,0,0
18.00,87.57,-2.29,10.15,30.60,100592.00,-0.76,47,0,0
19.00,87.29,-2.56,10.12,30.60,100616.00,-1.01,42,0,0
20.00,88.36,-1.63,10.17,30.50,100602.00,0.00,44,0,0
21.00,87.30,-2.43,10.21,30.60,100604.00,0.00,46,0,0
22.00,87.23,-2.68,10.14,30.70,100609.00,-1.68,45,0,0
23.00,86.91,-2.84,10.16,30.90,100597.00,-0.25,37,0,0
 -=- Nuevos datos -=-,0,0,0,0,0,0.00,0,,
24.00,87.33,-2.44,10.17,31.00,100616.00,-1.43,42,36.6776,-6.1077
25.00,87.29,-2.42,10.20,31.10,100613.00,-0.34,42,0,0
26.00,87.15,-2.89,10.31,31.20,100605.00,-0.50,43,0,0
27.00,87.21,-2.55,10.22,31.20,100602.00,0.08,44,0,0
28.00,87.12,-2.56,10.23,31.30,100594.00,-1.01,42,0,0
29.00,87.31,-2.47,10.17,31.20,100609.00,-1.01,46,0,0
30.00,87.17,-2.60,10.18,31.30,100606.00,-1.09,43,0,0
31.00,87.65,-2.21,10.24,31.30,100604.00,-0.84,43,0,0
32.00,87.39,-2.45,10.24,31.30,100608.00,-0.42,44,0,0
33.00,87.48,-2.20,10.19,31.50,100603.00,-0.92,44,0,0
34.00,87.77,-2.06,10.18,31.40,100617.00,-1.09,43,0,0
35.00,87.39,-2.41,10.18,31.50,100609.00,-0.76,43,0,0
 -=- Nuevos datos -=-,0,0,0,0,0,0.00,0,0,0
37.00,2.70,84.70,9.68,31.60,100610.00,-0.92,32,36.6776,-6.1077
38.00,1.83,85.26,9.74,31.50,100603.00,-1.17,35,0,0
39.00,2.23,84.42,9.72,31.40,100615.00,-0.42,33,0,0
40.00,2.57,84.05,9.71,31.40,100588.00,0.25,32,0,0
41.00,2.20,83.83,9.67,31.40,100602.00,0.08,32,0,0
42.00,2.21,84.24,9.69,31.30,100609.00,-0.67,32,0,0
43.00,2.39,84.24,9.65,31.30,100619.00,-1.68,32,0,0
44.00,2.38,84.84,9.68,31.40,100611.00,-1.01,33,0,0
 -=- Nuevos datos -=-,0,0,0,0,0,0.00,0,0,0
45.00,2.36,83.70,9.71,31.30,100606.00,-0.17,33,36.6776,-6.1077
46.00,2.49,83.00,9.71,31.20,100590.00,-0.34,41,0,0
